classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
0,0,47,3,5,1,1,0,1,0,0,1,1,0,0,0,3,0,0,0,7,1,7,2,0,1,0,2,0,0,0
0,0,46,3,7,1,1,0,0,0,1,1,0,0,0,0,3,2,3,2,7,2,7,2,0,0,0,0,0,0,0
1,0,36,3,3,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,7,2,5,2,0,0,0,0,0,0,0
1,0,11,1,5,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,98,5,7,1,1,0,0,1,1,1,1,2,0,0,3,2,0,0,7,2,7,2,0,0,0,1,0,1,0
0,0,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,32,3,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,5,1,0,0,0,1,1,1,1,0,0
0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0
0,0,10,2,5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,1,0,0,0
0,0,21,2,5,1,0,0,0,0,0,1,1,0,0,0,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0
0,0,14,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,1,0,1,1,1,1,0,1
0,0,15,2,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,2,0,0,0,1,1,2,0,0,0
0,0,15,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0
0,0,14,2,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0
0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,1,0,0
1,0,31,3,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,1,0,0
0,0,10,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,0
1,0,10,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,1,1,0,0,0,1,0,0
1,0,19,1,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,3,0,3,0,0,1,0,0,0,0,0
0,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,42,3,5,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,0,7,1,0,1,0,2,0,0,0
1,0,42,3,5,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,0,7,1,0,1,0,2,0,0,0
1,0,42,3,5,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,0,7,1,0,1,0,2,0,0,0
0,0,16,1,7,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,5,1,1,0,0,0,0,0,0
1,0,5,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,12,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,1,0,0,0
0,0,6,1,7,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,30,2,7,1,0,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,7,2,0,0,0,1,0,0,0
1,0,6,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,14,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,2,0,0,0
1,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,1,0,0
1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,0
1,0,6,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,17,2,7,0,0,0,0,0,1,1,1,0,0,0,5,1,0,0,5,1,3,2,0,1,0,0,0,0,0
1,0,17,2,7,0,0,0,0,0,1,1,1,0,0,0,5,1,0,0,5,1,3,2,0,1,0,0,0,0,0
0,0,7,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,33,2,3,0,0,0,1,0,0,1,3,0,0,0,3,0,0,0,3,0,5,1,0,0,0,0,0,0,0
0,0,12,2,5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0
0,0,15,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,5,2,1,0,0,1,1,0,0
1,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0
0,0,15,2,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,0,5,1,1,0,0,0,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0
0,0,44,3,7,1,1,1,0,1,1,1,1,1,0,0,3,0,0,0,7,2,7,2,0,0,0,0,0,0,0
1,0,14,2,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2,0,0,0,1,1,2,1,0,0
0,0,15,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,0,0,0,1,1,1,1,1,0,0
0,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,7,2,5,2,0,1,1,2,1,0,0
0,0,53,3,3,0,0,0,0,1,1,1,3,0,0,0,3,0,0,0,5,0,7,2,0,0,0,0,0,1,0
0,0,99,5,3,0,0,0,0,1,1,1,7,1,0,0,5,1,0,0,7,1,7,2,0,0,0,2,0,1,0
0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,117,6,3,1,0,0,0,1,1,1,5,1,0,0,3,1,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,16,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,7,2,1,0,0,0,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0
1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
1,0,8,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0
1,0,18,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,7,2,0,0,1,0,0,0,0,0,0
0,0,20,1,5,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,2,0,0,1,1,1,2,0,0,0
1,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,1,0,0
0,0,22,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,5,2,1,0,0,0,0,0,0
1,0,17,2,3,1,0,0,1,1,0,0,1,0,0,0,3,0,0,0,5,0,0,0,1,0,0,0,0,1,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,1,0,0
1,0,17,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,1,1,1,1,0,0
0,0,21,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,0,0,0,0
0,0,12,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,2,1,0,0,2,1,0,1
0,0,12,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,2,1,0,0,2,1,0,1
0,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,0,3,1,1,1,0,0,0,0,0
1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,22,2,7,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,7,1,3,1,1,0,0,1,0,0,0
0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,2,1,0,0
1,0,6,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,3,2,1,0,0,0,0,0,0
1,0,6,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,3,2,1,0,0,0,0,0,0
0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,9,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0
0,0,25,2,1,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,7,1,5,1,1,1,0,2,1,0,1
0,0,11,2,3,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,1,1,0,0,0,0,0
0,0,11,2,3,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,1,1,0,0,0,0,0
0,0,11,2,3,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,1,1,0,0,0,0,0
0,0,34,3,3,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,5,0,7,1,1,0,0,1,0,0,0
0,0,22,2,5,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,7,2,5,2,1,1,0,0,0,0,0
0,0,10,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,1,0,0
1,0,4,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0
1,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,1,0,0
0,0,4,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,1,0,0
1,0,15,2,7,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0
1,0,4,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,0,9,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,0,0,0
0,0,13,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,3,1,1,0,0,0,0,0,0
0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,46,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,0,2,0,1,0
1,0,15,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,5,2,1,0,0,0,0,0,0
1,0,66,4,7,1,1,0,0,1,1,1,1,0,0,0,7,2,3,0,7,2,5,2,0,1,0,0,0,0,0
1,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,1,0,0
1,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,1,0,0
1,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,1,0,0
1,0,24,2,3,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,0,7,2,0,0,0,2,0,0,0
1,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0,0,0
0,0,16,2,5,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
0,0,31,3,7,1,1,1,0,1,1,1,1,2,0,0,3,2,0,0,7,2,7,2,0,0,0,0,0,0,0
1,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,1,0,0
1,0,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,1
0,0,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,12,2,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,5,2,0,0,0,1,1,0,0
0,0,12,1,3,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0
0,0,12,1,3,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,0,0,0
1,0,18,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,1,0,1,1,2,1,0,1
1,0,18,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,1,0,1,1,2,1,0,1
0,0,20,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,1,3,1,1,1,0,0,0,0,0
1,0,39,3,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,7,1,5,1,1,1,1,1,0,0,0
0,0,22,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,1,0,0
0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,0
1,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0
1,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0
1,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,0
1,0,7,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,0
0,0,31,2,7,0,0,0,0,0,1,1,1,0,0,0,3,0,3,1,5,0,5,1,0,0,0,0,0,0,0
1,0,6,1,7,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,2,0,0,0
1,0,12,1,7,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,5,2,3,0,0,1,0,0,0,0,0
1,0,5,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0
0,0,5,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,1,0,0
1,0,26,1,3,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,1,1,1,2,1,0,0
1,0,26,1,3,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,5,0,0,0,1,1,1,2,1,0,0
1,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,0,0,1,1,0,0
1,0,8,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0
1,0,8,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0
0,0,9,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,1,2,1,0,0
0,0,19,1,7,0,0,0,1,0,1,1,1,0,0,0,3,2,0,0,7,2,3,0,0,0,0,0,0,0,0
0,0,7,2,3,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,3,1,0,0,1,1,0,0,1,0,0
0,0,17,2,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,1,0,0,0,1,1,1,1,0,0
0,0,3,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0
0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,44,3,7,1,1,0,0,1,1,1,1,0,0,0,5,2,0,0,7,2,7,2,0,1,0,0,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,20,2,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,7,2,3,2,1,1,0,0,0,0,0
0,0,20,2,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,7,2,3,2,1,1,0,0,0,0,0
0,0,29,2,5,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,7,2,7,2,1,0,0,0,0,0,0
0,0,29,2,5,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,7,2,7,2,1,0,0,0,0,0,0
1,0,71,4,3,1,1,0,1,1,1,1,1,0,0,0,7,1,7,2,7,1,7,2,0,0,0,0,0,1,0
0,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,1,1,2,1,0,0
0,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,1,1,2,1,0,0
1,0,22,2,3,1,0,0,1,0,1,1,1,0,0,0,3,0,0,0,7,2,5,1,0,1,0,0,0,0,0
1,0,6,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,3,1,1,0,0,0,0,0,0
1,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,2,1,0,0
0,0,4,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,0
0,0,20,2,7,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,2,0,0,0,1,0,0,0,0,0
1,0,20,2,7,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,5,1,3,0,1,1,0,0,0,0,0
0,0,7,1,7,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,3,1,0,0,0,0,0,0,0
1,0,16,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,0,1
0,0,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,1
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,0,1,0,2,1,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,0,1,0,2,1,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,0,1,0,2,1,0,0
1,0,32,2,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,0,5,1,1,0,0,0,0,0,0
0,0,50,3,3,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,5,2,0,0,1,1,0,0,1,0,0
0,0,21,2,5,1,0,0,1,0,0,1,1,0,0,0,3,0,0,0,7,2,5,1,0,0,0,0,0,0,0
1,0,11,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0
1,0,24,2,5,1,0,0,1,1,1,1,1,0,0,0,5,0,0,0,7,2,7,1,0,1,1,2,0,0,0
